"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000188001","TPRG1",335.230276545179,21647,328.261495512084,21627
"ENSG00000230115","TPRG1-AS2",0,32923.5,0,32923.5
"ENSG00000073282","TP63",189.219124683988,23122,185.585278886982,23055
"ENSG00000090530","P3H2",5984.73758423371,13779,5978.97889040729,13752
"ENSG00000225764","P3H2-AS1",840.71827314128,19137,826.522845511446,19151
"ENSG00000163347","CLDN1",2536.46097799676,16209,2524.32597052697,16202
"ENSG00000113946","CLDN16",2590.07749231994,16153,2563.42567744236,16152
"ENSG00000198398","TMEM207",0,32923.5,0,32923.5
"ENSG00000196083","IL1RAP",14198.0979203082,10870,14063.2343501738,10890
"ENSG00000273370","AC108747.1",0,32923.5,0,32923.5
"ENSG00000228730","LINC02013",0,32923.5,0,32923.5
"ENSG00000205835","GMNC",632.209640823004,19944,625.889553250425,19909
"ENSG00000188729","OSTN",6702.10509363887,13440,6612.75818565447,13458
"ENSG00000233308","OSTN-AS1",283.682164849711,22072,275.769573180028,22052
"ENSG00000188958","UTS2B",826.594929011044,19191,825.435994905378,19155
"ENSG00000152492","CCDC50",31907.0533255214,6463,31811.6003534063,6439
"ENSG00000223812","AC073365.1",13985.481169212,10945,13911.989116078,10944
"ENSG00000253548","PYDC2",0,32923.5,0,32923.5
"ENSG00000232353","AC026320.1",46.0943105082901,26477,41.5947216624239,26454
"ENSG00000287178","AC026320.3",0,32923.5,0,32923.5
"ENSG00000114279","FGF12",79043.5494180978,1239,78650.0746652785,1217
"ENSG00000231383","FGF12-AS1",0,32923.5,0,32923.5
"ENSG00000230126","FGF12-AS2",22.1693864812424,28461.5,18.9734417831341,28383
"ENSG00000226709","FGF12-AS3",701.518055872486,19645,690.07638751474,19637
"ENSG00000180611","MB21D2",20789.0083070913,9027,20676.7503402942,9028
"ENSG00000232130","AC092966.1",0,32923.5,0,32923.5
"ENSG00000127252","PLAAT1",11698.2605420339,11601,11633.7545412532,11598
"ENSG00000187527","ATP13A5",1259.75554151321,18085,1248.96451133265,18066
"ENSG00000236508","ATP13A5-AS1",826.991207014554,19189,815.482683395429,19191
"ENSG00000127249","ATP13A4",26147.0901918096,7681,26012.0426796808,7684
"ENSG00000225473","ATP13A4-AS1",80.6004944527136,25304,67.8167154628944,25608
"ENSG00000198836","OPA1",64730.6316707387,2060,64268.4537424279,2046
"ENSG00000224855","OPA1-AS1",0,32923.5,0,32923.5
"ENSG00000286624","AC069421.2",22.8854178360007,28112,19.074980300844,28316
"ENSG00000287206","AC069421.3",0,32923.5,0,32923.5
"ENSG00000229155","LINC02038",0,32923.5,0,32923.5
"ENSG00000214146","LINC02026",278.83237155292,22112,271.491186500831,22097
"ENSG00000238043","AC024559.1",75.3008290008966,25616,70.6576146719144,25515
"ENSG00000230102","LINC02028",2647.95359917319,16088,2615.61557261494,16101
"ENSG00000276407","AC024559.2",0,32923.5,0,32923.5
"ENSG00000229964","AC080129.1",0,32923.5,0,32923.5
"ENSG00000232874","AC080129.2",1433.72001831071,17698,1408.75111132497,17730
"ENSG00000114315","HES1",27032.5935921596,7467,26701.8156661688,7510
"ENSG00000225742","LINC02036",269.383366299456,22211,260.974540499129,22200
"ENSG00000238097","LINC02037",45.4625362808566,26514,41.3130503386189,26471
"ENSG00000228271","LINC02048",43.7678534062955,26682,37.3759639771812,26936
"ENSG00000214145","LINC00887",833.661086299195,19171,826.584081956256,19150
"ENSG00000286317","AC117469.1",0,32923.5,0,32923.5
"ENSG00000178772","CPN2",40.6684161993198,27165,34.2765267702055,27311
"ENSG00000172061","LRRC15",133.111713326823,24019,129.397861202031,23938
"ENSG00000178732","GP5",45.9059936748854,26488,38.2851185568408,26773
"ENSG00000133657","ATP13A3",35926.6086271541,5690,35866.5233521968,5660
"ENSG00000233058","LINC00884",7927.97851875499,12916,7876.66578678232,12909
"ENSG00000244675","AC108676.1",130.648122014739,24088,121.621823622908,24122
"ENSG00000231770","TMEM44-AS1",6934.6278820156,13334,6915.93793717397,13325
"ENSG00000145014","TMEM44",9311.69274909515,12393,9272.20216061273,12383
"ENSG00000229334","AC046143.1",2398.48337145563,16347,2386.32986791497,16337
"ENSG00000272707","AC046143.2",844.319097721625,19127,840.597453848067,19103
"ENSG00000041802","LSG1",21565.9548988395,8827,21552.6421453378,8803
"ENSG00000185112","FAM43A",15500.982266445,10461,15458.5616497378,10438
"ENSG00000233987","AC106706.1",0,32923.5,0,32923.5
"ENSG00000287073","AC106706.2",0,32923.5,0,32923.5
"ENSG00000237222","LINC01968",59.6347873675153,26192,57.163106376523,25911
"ENSG00000230401","LINC01972",151.885464742434,23673,140.281887365202,23742
"ENSG00000238031","AC090505.2",0,32923.5,0,32923.5
"ENSG00000173950","XXYLT1",14092.311692472,10905,14079.8372118575,10885
"ENSG00000233303","XXYLT1-AS1",0,32923.5,0,32923.5
"ENSG00000230266","XXYLT1-AS2",47.2686421439423,26438,41.3425828159352,26468
"ENSG00000287005","AC090018.2",696.687605325088,19661,689.072424595235,19643
"ENSG00000114331","ACAP2",31199.3657309443,6623,31065.0368427703,6616
"ENSG00000229325","ACAP2-IT1",4162.95836974389,14816,4143.43252005916,14809
"ENSG00000184203","PPP1R2",52262.7344183416,3222,52161.6027128491,3194
"ENSG00000223711","AC069213.1",558.556467041141,20260,554.175410987151,20223
"ENSG00000189058","APOD",152571.595895396,85,150498.861925371,67
"ENSG00000229178","AC233280.1",8602.85001149872,12657,8500.51520786905,12670
"ENSG00000176945","MUC20",10560.3670775602,11976,10473.1885552567,11981
"ENSG00000145113","MUC4",306.764127093829,21873,301.154011780881,21826
"ENSG00000223783","LINC01983",337.160202536613,21636,332.466238928939,21602
"ENSG00000061938","TNK2",69598.7064821188,1742,68724.8849936956,1763
"ENSG00000286004","AC124944.3",0,32923.5,0,32923.5
"ENSG00000224614","TNK2-AS1",368.554155946576,21382,355.051530049627,21407
"ENSG00000286168","AC024937.3",42.765426072794,26831,37.1894696484153,26963
"ENSG00000072274","TFRC",49083.9061309862,3627,48027.1480519831,3724
"ENSG00000224652","LINC00885",48.9879639645491,26406,37.8081806727519,26859
"ENSG00000163958","ZDHHC19",2011.195440614,16827,2001.81738107663,16818
"ENSG00000163959","SLC51A",423.016712142182,21016,409.830923665582,21029
"ENSG00000161217","PCYT1A",26457.7604844426,7589,26379.0087380064,7574
"ENSG00000228028","AC069257.1",0,32923.5,0,32923.5
"ENSG00000213123","TCTEX1D2",44634.4491465891,4228,43932.3404375165,4306
"ENSG00000235897","TM4SF19-AS1",1051.38863108251,18563,1045.55424959199,18539
"ENSG00000145107","TM4SF19",0,32923.5,0,32923.5
"ENSG00000163960","UBXN7",27215.9185246582,7436,27151.9551957943,7422
"ENSG00000225822","UBXN7-AS1",21.0950441255191,28975,17.8990994274108,28946
"ENSG00000163961","RNF168",29461.6496216077,6945,29055.2963888576,6984
"ENSG00000273013","AC117490.2",998.68660737742,18697,989.416184710693,18672
