"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000106123","EPHB6",88680.553554874,841,87535.9291966609,818
"ENSG00000159784","FAM131B",66269.3803673818,1833,65295.5243086705,1820
"ENSG00000174469","CNTNAP2",78563.527261465,1213,77663.0374856165,1191
"ENSG00000171130","ATP6V0E2",104954.755300366,475,103073.465813124,450
"ENSG00000164885","CDK5",70406.330185846,1620,69465.9627823122,1597
"ENSG00000133612","AGAP3",99971.1929606525,568,98183.137638136,551
"ENSG00000082014","SMARCD3",70339.633960625,1624,69542.6462161581,1592
"ENSG00000106615","RHEB",89310.807438195,823,88505.3736394621,795
"ENSG00000130226","DPP6",88678.7319284438,842,88197.9597221043,802
"ENSG00000105993","DNAJB6",90145.5291481054,800,88789.5230497549,788
"ENSG00000155093","PTPRN2",87805.6365706571,869,86743.9949735744,843
"ENSG00000164733","CTSB",109213.560712343,403,108114.529552477,368
"ENSG00000104723","TUSC3",61058.6000218991,2045,60293.7311797151,2024
"ENSG00000155970","MICU3",61065.8634287167,2044,59558.5654121166,2043
"ENSG00000104763","ASAH1",72997.0623006283,1473,72409.9546486214,1443
"ENSG00000156011","PSD3",95471.7379814462,661,93704.7863255269,643
"ENSG00000147416","ATP6V1B2",102463.066803296,526,101551.083402261,480
"ENSG00000158856","DMTN",105111.896163464,472,104048.157250938,429
"ENSG00000168481","LGI3",84984.4932291554,976,83807.2576558649,950
"ENSG00000168490","PHYHIP",125950.787766645,206,121535.865673808,184
"ENSG00000179388","EGR3",62090.0502762211,2012,59182.5968551453,2051
"ENSG00000104722","NEFM",125925.750092686,207,121595.933761643,183
"ENSG00000277586","NEFL",156204.972332919,54,147865.585400147,42
"ENSG00000240694","PNMA2",105385.846802974,468,103729.905128681,434
"ENSG00000092964","DPYSL2",133135.887343716,151,125134.199810646,147
"ENSG00000120899","PTK2B",90560.2997838754,789,89728.5789534499,761
"ENSG00000120885","CLU",210903.006958041,24,187410.601828733,16
"ENSG00000133872","SARAF",119022.274004226,289,116191.616565462,261
"ENSG00000104695","PPP2CB",95190.3988324013,664,91714.0212202681,710
"ENSG00000156735","BAG4",62081.4006735908,2013,60108.9475599708,2030
"ENSG00000147533","GOLGA7",63748.2148841622,1953,62226.725657491,1962
"ENSG00000070718","AP3M2",62731.5682854122,1991,62378.6620225259,1956
"ENSG00000078668","VDAC3",83938.791844875,1012,82992.1480347378,978
"ENSG00000169139","UBE2V2",81716.7440577851,1094,81115.7880048347,1050
"ENSG00000047249","ATP6V1H",91745.2807605015,761,90720.8495915039,737
"ENSG00000137575","SDCBP",74061.4770720345,1420,72565.8457804752,1431
"ENSG00000104388","RAB2A",91887.0426806306,758,91066.0640439241,723
"ENSG00000198363","ASPH",72856.0835396528,1483,71883.8698958121,1476
"ENSG00000245910","SNHG6",99499.9065986621,582,97223.0135996345,575
"ENSG00000154582","ELOC",79247.0125559554,1177,78488.6791154467,1152
"ENSG00000104381","GDAP1",60889.5916460606,2050,60427.2386267412,2019
"ENSG00000171033","PKIA",71116.5032719629,1585,70334.3517126974,1549
"ENSG00000104435","STMN2",131672.834803021,156,128794.833217849,112
"ENSG00000076554","TPD52",77236.0356624762,1276,76803.2058468235,1231
"ENSG00000123119","NECAB1",105174.660000802,471,100106.747512155,517
"ENSG00000164951","PDP1",89425.8471609827,820,88105.814841538,805
"ENSG00000156467","UQCRB",125012.382724721,215,120887.63453029,199
"ENSG00000156482","RPL30",147880.32425052,80,141945.129986278,55
"ENSG00000164919","COX6C",139214.24330586,115,125488.830743665,141
"ENSG00000147669","POLR2K",70799.5773996849,1595,69985.6960840396,1571
"ENSG00000164924","YWHAZ",130454.393808518,164,126814.066177328,131
"ENSG00000104490","NCALD",100490.159679082,556,99178.8654295333,529
