"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000046653","GPM6B",29019.0066681386,64,27047.7930479211,53
"ENSG00000008086","CDKL5",12003.4999535306,1803,11858.8916115082,1815
"ENSG00000184368","MAP7D2",12226.4816310977,1752,12161.4027544124,1737
"ENSG00000149970","CNKSR2",13810.8239209153,1312,13637.7964953381,1317
"ENSG00000165169","DYNLT3",12677.6044152881,1618,12540.8467482937,1628
"ENSG00000156298","TSPAN7",24393.9711550093,130,23931.375177479,104
"ENSG00000182220","ATP6AP2",18109.6103669978,556,17677.7289771931,563
"ENSG00000147123","NDUFB11",15869.3230039748,882,15461.7202236921,897
"ENSG00000130985","UBA1",15976.5301230829,859,15836.9517015613,833
"ENSG00000102226","USP11",17179.0171797182,673,17089.6496512773,630
"ENSG00000008056","SYN1",20720.2686179738,315,20644.9719642144,266
"ENSG00000102109","PCSK1N",22555.077390545,188,22504.6641254592,149
"ENSG00000102003","SYP",20325.8855216507,345,20167.3191211422,308
"ENSG00000179222","MAGED1",16228.6539911924,824,16040.2371714818,799
"ENSG00000124313","IQSEC2",10473.4343294497,2051,10459.335112962,2038
"ENSG00000188021","UBQLN2",13917.4783645615,1285,13881.1003501825,1250
"ENSG00000131089","ARHGEF9",13293.9495566514,1448,13254.8579087789,1412
"ENSG00000147140","NONO",11885.7422328258,1831,11823.4906681103,1822
"ENSG00000186462","NAP1L2",17408.0910644474,644,17304.1525750626,607
"ENSG00000131174","COX7B",19771.1360044591,397,18770.5973936939,434
"ENSG00000102144","PGK1",19373.6947619841,430,18165.4239280639,494
"ENSG00000131171","SH3BGRL",13692.1029510551,1349,13653.2296594495,1313
"ENSG00000186310","NAP1L3",17166.4793860093,674,17081.6299912447,632
"ENSG00000241343","RPL36A",21727.2261932893,245,21641.2546281741,199
"ENSG00000126945","HNRNPH2",14140.3619087993,1233,14116.6753045385,1195
