"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000168056","LTBP3",67538.1403347174,1764,67425.4083713732,1741
"ENSG00000175573","C11orf68",65403.8151977417,1872,65212.5936046769,1857
"ENSG00000175550","DRAP1",78848.4575684493,1200,78265.0867369303,1203
"ENSG00000175334","BANF1",70438.0212209586,1618,70362.6046685281,1589
"ENSG00000174871","CNIH2",81443.8228334649,1105,80791.453812495,1101
"ENSG00000174080","CTSF",84329.3954691894,999,84134.0587345894,984
"ENSG00000084207","GSTP1",93676.8125143066,715,93444.4718067954,689
"ENSG00000118363","SPCS2",72817.7365600894,1487,72390.0615630433,1487
"ENSG00000171533","MAP6",65853.6803955079,1851,65551.7980173379,1841
"ENSG00000073921","PICALM",64861.498369273,1898,63592.6890903691,1935
"ENSG00000149294","NCAM1",104520.600303871,482,103048.916825676,491
"ENSG00000109906","ZBTB16",61573.9768454119,2033,60268.430260244,2048
"ENSG00000196914","ARHGEF12",70640.421666964,1609,69824.1267117684,1620
"ENSG00000023171","GRAMD1B",62064.9965290525,2014,61826.6482239276,2005
"ENSG00000250510","GPR162",79022.2532203575,1189,78386.4327550936,1196
"ENSG00000111276","CDKN1B",61219.2488495633,2042,60785.3109125419,2037
"ENSG00000008394","MGST1",61802.847259999,2026,61419.6598258293,2023
"ENSG00000111790","FGFR1OP2",64453.5016146062,1914,64043.2900408032,1909
"ENSG00000181418","DDN",96230.9469388078,647,94668.6327958028,656
"ENSG00000167552","TUBA1A",159254.054113362,52,152691.497813836,48
"ENSG00000178449","COX14",79156.8564981564,1182,78510.7032092154,1189
"ENSG00000185432","METTL7A",70729.1598266718,1604,68753.6395946855,1679
"ENSG00000197111","PCBP2",108142.858461501,422,107066.027910652,419
"ENSG00000135390","ATP5MC2",102544.836928119,524,101032.163785497,534
"ENSG00000135441","BLOC1S1",93726.2059514052,712,92929.6374794891,701
"ENSG00000135404","CD63",106311.175293402,457,105090.220541854,445
"ENSG00000111540","RAB5B",77264.901072706,1274,76846.3614040367,1263
"ENSG00000110958","PTGES3",100180.928684664,562,98197.8276322407,589
"ENSG00000196531","NACA",116796.470087453,316,116584.125646089,293
"ENSG00000135643","KCNMB4",77700.2985742279,1253,77468.7501205583,1237
"ENSG00000174456","C12orf76",71057.0973423239,1587,70998.2797189049,1556
"ENSG00000089157","RPLP0",108520.688414089,417,107637.948366916,409
"ENSG00000150991","UBC",137516.316862195,122,135272.163132962,110
"ENSG00000139364","TMEM132B",60753.215079263,2055,60496.0044342474,2047
"ENSG00000173141","MRPL57",68888.1690924146,1707,68549.4293836838,1695
"ENSG00000122034","GTF3A",63940.1019144247,1942,63870.1485054754,1919
"ENSG00000189403","HMGB1",103080.4078021,513,101955.685636424,512
"ENSG00000188243","COMMD6",77817.2074864652,1248,77592.6551490904,1230
"ENSG00000139793","MBNL2",84063.5448289012,1006,83008.4489455395,1020
"ENSG00000102606","ARHGEF7",76262.1593636675,1323,75982.9451007654,1310
"ENSG00000185896","LAMP1",81711.0921073424,1095,81337.7565516598,1081
"ENSG00000092199","HNRNPC",90693.3346444131,786,89524.9733908684,800
"ENSG00000139910","NOVA1",68943.4762708187,1702,67908.586850287,1719
"ENSG00000100852","ARHGAP5",68238.0286611934,1736,66909.7341658978,1770
"ENSG00000165502","RPL36AL",94518.8553799422,687,93861.756843625,674
"ENSG00000100568","VTI1B",71317.3917691204,1572,71208.7237393029,1541
"ENSG00000072042","RDH11",64344.3110276043,1924,63344.778143529,1944
"ENSG00000197555","SIPA1L1",62876.1978951534,1986,62711.4087362679,1971
"ENSG00000100591","AHSA1",67223.1144873933,1786,67063.7497515006,1757
"ENSG00000100605","ITPK1",90623.545444058,788,90399.2962248512,774
"ENSG00000196136","SERPINA3",79110.3557741543,1183,70006.9612652426,1608
"ENSG00000182512","GLRX5",63852.9172291161,1944,63763.9850323861,1926
